,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-L/100km,highway-L/100km,price,price-binned,horsepower-binned,fuel-type-diesel,fuel-type-gas,aspiration-std,aspiration-turbo
128,3,150,saab,gas,std,two,hatchback,fwd,front,99.1,0.9,0.92,0.94,2658,ohc,four,121,mpfi,3.54,3.07,9.31,110,5250.0,11.19,8.39,11850.0,Low,Low,0,1,1,0
129,2,104,saab,gas,std,four,sedan,fwd,front,99.1,0.9,0.92,0.94,2695,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250.0,11.19,8.39,12170.0,Low,Low,0,1,1,0
130,3,150,saab,gas,std,two,hatchback,fwd,front,99.1,0.9,0.92,0.94,2707,ohc,four,121,mpfi,2.54,2.07,9.3,110,5250.0,11.19,8.39,15040.0,Low,Low,0,1,1,0
131,2,104,saab,gas,std,four,sedan,fwd,front,99.1,0.9,0.92,0.94,2758,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250.0,11.19,8.39,15510.0,Low,Low,0,1,1,0
132,3,150,saab,gas,turbo,two,hatchback,fwd,front,99.1,0.9,0.92,0.94,2808,dohc,four,121,mpfi,3.54,3.07,9.0,160,5500.0,12.37,9.04,18150.0,Low,Medium,0,1,0,1
133,2,104,saab,gas,turbo,four,sedan,fwd,front,99.1,0.9,0.92,0.94,2847,dohc,four,121,mpfi,3.54,3.07,9.0,160,5500.0,12.37,9.04,18620.0,Medium,Medium,0,1,0,1
134,2,83,subaru,gas,std,two,hatchback,fwd,front,93.7,0.75,0.88,0.9,2050,ohcf,four,97,2bbl,3.62,2.36,9.0,69,4900.0,7.58,6.53,5118.0,Low,Low,0,1,1,0
135,2,83,subaru,gas,std,two,hatchback,fwd,front,93.7,0.76,0.88,0.9,2120,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400.0,9.04,7.58,7053.0,Low,Low,0,1,1,0
136,2,83,subaru,gas,std,two,hatchback,4wd,front,93.3,0.76,0.89,0.93,2240,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400.0,9.04,7.58,7603.0,Low,Low,0,1,1,0
137,0,102,subaru,gas,std,four,sedan,fwd,front,97.2,0.83,0.91,0.88,2145,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4800.0,7.34,6.35,7126.0,Low,Low,0,1,1,0
138,0,102,subaru,gas,std,four,sedan,fwd,front,97.2,0.83,0.91,0.88,2190,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4400.0,8.39,7.12,7775.0,Low,Low,0,1,1,0
139,0,102,subaru,gas,std,four,sedan,fwd,front,97.2,0.83,0.91,0.88,2340,ohcf,four,108,mpfi,3.62,2.64,9.0,94,5200.0,9.04,7.34,9960.0,Low,Low,0,1,1,0
140,0,102,subaru,gas,std,four,sedan,4wd,front,97.0,0.83,0.91,0.91,2385,ohcf,four,108,2bbl,3.62,2.64,9.0,82,4800.0,9.79,9.4,9233.0,Low,Low,0,1,1,0
141,0,102,subaru,gas,turbo,four,sedan,4wd,front,97.0,0.83,0.91,0.91,2510,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800.0,9.79,8.1,11259.0,Low,Low,0,1,0,1
142,0,89,subaru,gas,std,four,wagon,fwd,front,97.0,0.83,0.91,0.89,2290,ohcf,four,108,2bbl,3.62,2.64,9.0,82,4800.0,8.39,7.34,7463.0,Low,Low,0,1,1,0
143,0,89,subaru,gas,std,four,wagon,fwd,front,97.0,0.83,0.91,0.89,2455,ohcf,four,108,mpfi,3.62,2.64,9.0,94,5200.0,9.4,7.58,10198.0,Low,Low,0,1,1,0
144,0,85,subaru,gas,std,four,wagon,4wd,front,96.9,0.83,0.91,0.92,2420,ohcf,four,108,2bbl,3.62,2.64,9.0,82,4800.0,10.22,8.1,8013.0,Low,Low,0,1,1,0
145,0,85,subaru,gas,turbo,four,wagon,4wd,front,96.9,0.83,0.91,0.92,2650,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800.0,10.22,10.22,11694.0,Low,Low,0,1,0,1
146,1,87,toyota,gas,std,two,hatchback,fwd,front,95.7,0.76,0.88,0.91,1985,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800.0,6.71,6.03,5348.0,Low,Low,0,1,1,0
147,1,87,toyota,gas,std,two,hatchback,fwd,front,95.7,0.76,0.88,0.91,2040,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800.0,7.58,6.18,6338.0,Low,Low,0,1,1,0
148,1,74,toyota,gas,std,four,hatchback,fwd,front,95.7,0.76,0.88,0.91,2015,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800.0,7.58,6.18,6488.0,Low,Low,0,1,1,0
149,0,77,toyota,gas,std,four,wagon,fwd,front,95.7,0.82,0.88,0.99,2280,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800.0,7.58,6.35,6918.0,Low,Low,0,1,1,0
150,0,81,toyota,gas,std,four,wagon,4wd,front,95.7,0.82,0.88,0.99,2290,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800.0,8.7,7.34,7898.0,Low,Low,0,1,1,0
151,0,91,toyota,gas,std,four,wagon,4wd,front,95.7,0.82,0.88,0.99,3110,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800.0,8.7,7.34,8778.0,Low,Low,0,1,1,0
152,0,91,toyota,gas,std,four,sedan,fwd,front,95.7,0.8,0.89,0.89,2081,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800.0,7.83,6.35,6938.0,Low,Low,0,1,1,0
153,0,91,toyota,gas,std,four,hatchback,fwd,front,95.7,0.8,0.89,0.88,2109,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800.0,7.83,6.35,7198.0,Low,Low,0,1,1,0
154,0,91,toyota,diesel,std,four,sedan,fwd,front,95.7,0.8,0.89,0.89,2275,ohc,four,110,idi,3.27,3.35,22.5,56,4500.0,6.91,6.53,7898.0,Low,Low,1,0,1,0
155,0,91,toyota,diesel,std,four,hatchback,fwd,front,95.7,0.8,0.89,0.88,2275,ohc,four,110,idi,3.27,3.35,22.5,56,4500.0,6.18,5.0,7788.0,Low,Low,1,0,1,0
156,0,91,toyota,gas,std,four,sedan,fwd,front,95.7,0.8,0.89,0.89,2094,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800.0,6.18,5.0,7738.0,Low,Low,0,1,1,0
157,0,91,toyota,gas,std,four,hatchback,fwd,front,95.7,0.8,0.89,0.88,2122,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800.0,8.39,6.91,8358.0,Low,Low,0,1,1,0
158,0,91,toyota,gas,std,four,sedan,fwd,front,95.7,0.8,0.89,0.88,2140,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800.0,8.39,6.91,9258.0,Low,Low,0,1,1,0
159,1,168,toyota,gas,std,two,sedan,rwd,front,94.5,0.81,0.89,0.88,2169,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800.0,8.1,6.91,8058.0,Low,Low,0,1,1,0
160,1,168,toyota,gas,std,two,hatchback,rwd,front,94.5,0.81,0.89,0.88,2204,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800.0,8.1,6.91,8238.0,Low,Low,0,1,1,0
161,1,168,toyota,gas,std,two,sedan,rwd,front,94.5,0.81,0.89,0.88,2265,dohc,four,98,mpfi,3.24,3.08,9.4,112,6600.0,9.04,8.1,9298.0,Low,Low,0,1,1,0
162,1,168,toyota,gas,std,two,hatchback,rwd,front,94.5,0.81,0.89,0.88,2300,dohc,four,98,mpfi,3.24,3.08,9.4,112,6600.0,9.04,8.1,9538.0,Low,Low,0,1,1,0
163,2,134,toyota,gas,std,two,hardtop,rwd,front,98.4,0.85,0.91,0.87,2540,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800.0,9.79,7.83,8449.0,Low,Low,0,1,1,0
164,2,134,toyota,gas,std,two,hardtop,rwd,front,98.4,0.85,0.91,0.87,2536,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800.0,9.79,7.83,9639.0,Low,Low,0,1,1,0
165,2,134,toyota,gas,std,two,hatchback,rwd,front,98.4,0.85,0.91,0.87,2551,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800.0,9.79,7.83,9989.0,Low,Low,0,1,1,0
166,2,134,toyota,gas,std,two,hardtop,rwd,front,98.4,0.85,0.91,0.87,2679,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800.0,9.79,7.83,11199.0,Low,Low,0,1,1,0
167,2,134,toyota,gas,std,two,hatchback,rwd,front,98.4,0.85,0.91,0.87,2714,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800.0,9.79,7.83,11549.0,Low,Low,0,1,1,0
168,2,134,toyota,gas,std,two,convertible,rwd,front,98.4,0.85,0.91,0.89,2975,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800.0,9.79,7.83,17669.0,Low,Low,0,1,1,0
169,-1,65,toyota,gas,std,four,sedan,fwd,front,102.4,0.84,0.92,0.92,2326,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200.0,8.1,6.91,8948.0,Low,Low,0,1,1,0
170,-1,65,toyota,diesel,turbo,four,sedan,fwd,front,102.4,0.84,0.92,0.92,2480,ohc,four,110,idi,3.27,3.35,22.5,73,4500.0,7.83,7.12,10698.0,Low,Low,1,0,0,1
171,-1,65,toyota,gas,std,four,hatchback,fwd,front,102.4,0.84,0.92,0.9,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200.0,8.7,7.34,9988.0,Low,Low,0,1,1,0
172,-1,65,toyota,gas,std,four,sedan,fwd,front,102.4,0.84,0.92,0.92,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200.0,8.7,7.34,10898.0,Low,Low,0,1,1,0
173,-1,65,toyota,gas,std,four,hatchback,fwd,front,102.4,0.84,0.92,0.9,2458,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200.0,8.7,7.34,11248.0,Low,Low,0,1,1,0
174,3,197,toyota,gas,std,two,hatchback,rwd,front,102.9,0.88,0.94,0.87,2976,dohc,six,171,mpfi,3.27,3.35,9.3,161,5200.0,11.75,9.79,16558.0,Low,Medium,0,1,1,0
175,3,197,toyota,gas,std,two,hatchback,rwd,front,102.9,0.88,0.94,0.87,3016,dohc,six,171,mpfi,3.27,3.35,9.3,161,5200.0,12.37,9.79,15998.0,Low,Medium,0,1,1,0
176,-1,90,toyota,gas,std,four,sedan,rwd,front,104.5,0.9,0.92,0.9,3131,dohc,six,171,mpfi,3.27,3.35,9.2,156,5200.0,11.75,9.79,15690.0,Low,Medium,0,1,1,0
177,-1,122,toyota,gas,std,four,wagon,rwd,front,104.5,0.9,0.92,0.9,3151,dohc,six,161,mpfi,3.27,3.35,9.2,156,5200.0,12.37,9.79,15750.0,Low,Medium,0,1,1,0
178,2,122,volkswagen,diesel,std,two,sedan,fwd,front,97.3,0.83,0.91,0.93,2261,ohc,four,97,idi,3.01,3.4,23.0,52,4800.0,6.35,5.11,7775.0,Low,Low,1,0,1,0
179,2,122,volkswagen,gas,std,two,sedan,fwd,front,97.3,0.83,0.91,0.93,2209,ohc,four,109,mpfi,3.19,3.4,9.0,85,5250.0,8.7,6.91,7975.0,Low,Low,0,1,1,0
180,2,94,volkswagen,diesel,std,four,sedan,fwd,front,97.3,0.83,0.91,0.93,2264,ohc,four,97,idi,3.01,3.4,23.0,52,4800.0,6.35,5.11,7995.0,Low,Low,1,0,1,0
181,2,94,volkswagen,gas,std,four,sedan,fwd,front,97.3,0.83,0.91,0.93,2212,ohc,four,109,mpfi,3.19,3.4,9.0,85,5250.0,8.7,6.91,8195.0,Low,Low,0,1,1,0
182,2,94,volkswagen,gas,std,four,sedan,fwd,front,97.3,0.83,0.91,0.93,2275,ohc,four,109,mpfi,3.19,3.4,9.0,85,5250.0,8.7,6.91,8495.0,Low,Low,0,1,1,0
183,2,94,volkswagen,diesel,turbo,four,sedan,fwd,front,97.3,0.83,0.91,0.93,2319,ohc,four,97,idi,3.01,3.4,23.0,68,4500.0,6.35,5.6,9495.0,Low,Low,1,0,0,1
184,2,94,volkswagen,gas,std,four,sedan,fwd,front,97.3,0.83,0.91,0.93,2300,ohc,four,109,mpfi,3.19,3.4,10.0,100,5500.0,9.04,7.34,9995.0,Low,Low,0,1,1,0
185,3,122,volkswagen,gas,std,two,convertible,fwd,front,94.5,0.77,0.89,0.93,2254,ohc,four,109,mpfi,3.19,3.4,8.5,90,5500.0,9.79,8.1,11595.0,Low,Low,0,1,1,0
186,3,256,volkswagen,gas,std,two,hatchback,fwd,front,94.5,0.8,0.89,0.86,2221,ohc,four,109,mpfi,3.19,3.4,8.5,90,5500.0,9.79,8.1,9980.0,Low,Low,0,1,1,0
187,0,122,volkswagen,gas,std,four,sedan,fwd,front,100.4,0.87,0.93,0.92,2661,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,12.37,9.79,13295.0,Low,Low,0,1,1,0
188,0,122,volkswagen,diesel,turbo,four,sedan,fwd,front,100.4,0.87,0.93,0.92,2579,ohc,four,97,idi,3.01,3.4,23.0,68,4500.0,7.12,6.18,13845.0,Low,Low,1,0,0,1
189,0,122,volkswagen,gas,std,four,wagon,fwd,front,100.4,0.88,0.93,0.92,2563,ohc,four,109,mpfi,3.19,3.4,9.0,88,5500.0,9.4,7.58,12290.0,Low,Low,0,1,1,0
190,-2,103,volvo,gas,std,four,sedan,rwd,front,104.3,0.91,0.93,0.94,2912,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400.0,10.22,8.39,12940.0,Low,Low,0,1,1,0
191,-1,74,volvo,gas,std,four,wagon,rwd,front,104.3,0.91,0.93,0.96,3034,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400.0,10.22,8.39,13415.0,Low,Low,0,1,1,0
192,-2,103,volvo,gas,std,four,sedan,rwd,front,104.3,0.91,0.93,0.94,2935,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400.0,9.79,8.39,15985.0,Low,Low,0,1,1,0
193,-1,74,volvo,gas,std,four,wagon,rwd,front,104.3,0.91,0.93,0.96,3042,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400.0,9.79,8.39,16515.0,Low,Low,0,1,1,0
194,-2,103,volvo,gas,turbo,four,sedan,rwd,front,104.3,0.91,0.93,0.94,3045,ohc,four,130,mpfi,3.62,3.15,7.5,162,5100.0,13.82,10.68,18420.0,Low,Medium,0,1,0,1
195,-1,74,volvo,gas,turbo,four,wagon,rwd,front,104.3,0.91,0.93,0.96,3157,ohc,four,130,mpfi,3.62,3.15,7.5,162,5100.0,13.82,10.68,18950.0,Medium,Medium,0,1,0,1
196,-1,95,volvo,gas,std,four,sedan,rwd,front,109.1,0.91,0.96,0.93,2952,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400.0,10.22,8.39,16845.0,Low,Low,0,1,1,0
197,-1,95,volvo,gas,turbo,four,sedan,rwd,front,109.1,0.91,0.96,0.93,3049,ohc,four,141,mpfi,3.78,3.15,8.7,160,5300.0,12.37,9.4,19045.0,Medium,Medium,0,1,0,1
198,-1,95,volvo,gas,std,four,sedan,rwd,front,109.1,0.91,0.96,0.93,3012,ohcv,six,173,mpfi,3.58,2.87,8.8,134,5500.0,13.06,10.22,21485.0,Medium,Medium,0,1,1,0
199,-1,95,volvo,diesel,turbo,four,sedan,rwd,front,109.1,0.91,0.96,0.93,3217,ohc,six,145,idi,3.01,3.4,23.0,106,4800.0,9.04,8.7,22470.0,Medium,Low,1,0,0,1
200,-1,95,volvo,gas,turbo,four,sedan,rwd,front,109.1,0.91,0.96,0.93,3062,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400.0,12.37,9.4,22625.0,Medium,Low,0,1,0,1
